Home Team,Home Score,Away Team,Away Score,Match Date
Espanyol,1,Sporting Gijon,0, Sunday 5th December 2010.
Getafe,3,Real Mallorca,0, Sunday 5th December 2010.
Malaga,4,Racing Santander,1, Sunday 5th December 2010.
Villarreal,1,Sevilla,0, Sunday 5th December 2010.
Real Sociedad,2,Athletic Bilbao,0, Sunday 5th December 2010.
Levante,2,Atletico Madrid,0, Saturday 4th December 2010.
Osasuna,0,Barcelona,3, Saturday 4th December 2010.
Real Madrid,2,Valencia,0, Saturday 4th December 2010.
Barcelona,5,Real Madrid,0, Monday 29th November 2010.
Hercules,3,Levante,1, Sunday 28th November 2010.
Racing Santander,1,Deportivo La Coruna,0, Sunday 28th November 2010.
Real Mallorca,2,Malaga,0, Sunday 28th November 2010.
Sporting Gijon,1,Real Sociedad,3, Sunday 28th November 2010.
Athletic Bilbao,1,Osasuna,0, Sunday 28th November 2010.
Valencia,2,Almeria,1, Sunday 28th November 2010.
Real Zaragoza,0,Villarreal,3, Saturday 27th November 2010.
Sevilla,1,Getafe,3, Saturday 27th November 2010.
Atletico Madrid,2,Espanyol,3, Saturday 27th November 2010.
Getafe,1,Real Zaragoza,1, Monday 22nd November 2010.
Deportivo La Coruna,3,Malaga,0, Sunday 21st November 2010.
Espanyol,3,Hercules,0, Sunday 21st November 2010.
Levante,3,Racing Santander,1, Sunday 21st November 2010.
Osasuna,1,Sporting Gijon,0, Sunday 21st November 2010.
Sevilla,1,Real Mallorca,2, Sunday 21st November 2010.
Real Sociedad,2,Atletico Madrid,4, Sunday 21st November 2010.
Villarreal,1,Valencia,1, Saturday 20th November 2010.
Almeria,0,Barcelona,8, Saturday 20th November 2010.
Real Madrid,5,Athletic Bilbao,1, Saturday 20th November 2010.
Hercules,2,Real Sociedad,1, Sunday 14th November 2010.
Malaga,1,Levante,0, Sunday 14th November 2010.
Racing Santander,0,Espanyol,0, Sunday 14th November 2010.
Real Mallorca,0,Deportivo La Coruna,0, Sunday 14th November 2010.
Real Zaragoza,1,Sevilla,2, Sunday 14th November 2010.
Sporting Gijon,0,Real Madrid,1, Sunday 14th November 2010.
Valencia,2,Getafe,0, Sunday 14th November 2010.
Athletic Bilbao,1,Almeria,0, Saturday 13th November 2010.
Atletico Madrid,3,Osasuna,0, Saturday 13th November 2010.
Barcelona,3,Villarreal,1, Saturday 13th November 2010.
Sevilla,2,Valencia,0, Monday 8th November 2010.
Almeria,1,Sporting Gijon,1, Sunday 7th November 2010.
Levante,1,Deportivo La Coruna,2, Sunday 7th November 2010.
Osasuna,3,Hercules,0, Sunday 7th November 2010.
Real Zaragoza,3,Real Mallorca,2, Sunday 7th November 2010.
Villarreal,4,Athletic Bilbao,1, Sunday 7th November 2010.
Getafe,1,Barcelona,3, Sunday 7th November 2010.
